passageiros,intervalo_trens,linha,dia_semana,data,hora
5302.626262626262,4,VERDE,sexta,2024-01-01,13
9945.0,5,AMARELA,quinta,2024-01-02,6
3364.0,8,VERMELHA,quarta,2024-01-03,6
4959.0,3,AZUL,terca,2024-01-04,7
9325.0,4,AZUL,terca,2024-01-05,8
7991.0,3,VERDE,quarta,2024-01-06,13
4473.0,6,AZUL,terca,2024-01-07,7
5974.0,4,AMARELA,sexta,2024-01-08,16
6844.0,8,VERMELHA,quarta,2024-01-09,22
3568.0,5,AMARELA,sexta,2024-01-10,15
805.0,2,AMARELA,sexta,2024-01-11,8
2699.0,5,VERMELHA,quarta,2024-01-12,3
2322.0,4,AZUL,quinta,2024-01-13,6
7868.0,5,VERMELHA,quinta,2024-01-14,17
2997.0,2,AMARELA,terca,2024-01-15,7
9993.0,2,VERMELHA,quarta,2024-01-16,20
637.0,8,VERMELHA,sexta,2024-01-17,2
6316.0,2,VERDE,quinta,2024-01-18,16
7021.0,8,VERDE,quinta,2024-01-19,18
6136.0,5,AMARELA,terca,2024-01-20,13
2263.0,8,AMARELA,terca,2024-01-21,23
5172.0,4,AZUL,terca,2024-01-22,4
4951.0,5,AMARELA,terca,2024-01-23,4
7977.0,2,AZUL,quarta,2024-01-24,12
2146.0,6,AZUL,segunda,2024-01-25,17
1971.0,2,VERMELHA,quinta,2024-01-26,23
7699.0,7,VERMELHA,terca,2024-01-27,22
2596.0,8,AMARELA,sexta,2024-01-28,20
8391.0,2,VERDE,quinta,2024-01-29,1
855.0,7,VERDE,terca,2024-01-30,5
897.0,4,AZUL,terca,2024-01-31,23
759.0,5,AMARELA,quarta,2024-02-01,1
3319.0,8,AZUL,segunda,2024-02-02,19
8715.0,4,VERMELHA,segunda,2024-02-03,21
7556.0,5,AMARELA,quarta,2024-02-04,23
3437.0,7,AMARELA,sexta,2024-02-05,19
2845.0,2,VERDE,segunda,2024-02-06,22
4835.0,2,AMARELA,sexta,2024-02-07,22
8836.0,2,VERDE,quinta,2024-02-08,7
6787.0,5,AMARELA,quinta,2024-02-09,9
814.0,9,VERMELHA,segunda,2024-02-10,17
2392.0,2,AZUL,segunda,2024-02-11,9
8443.0,4,VERDE,quinta,2024-02-12,22
1307.0,4,VERDE,quinta,2024-02-13,0
6272.0,2,AMARELA,segunda,2024-02-14,19
9094.0,6,AMARELA,quinta,2024-02-15,4
7321.0,5,AMARELA,segunda,2024-02-16,17
6121.0,6,VERDE,quarta,2024-02-17,20
3722.0,7,VERDE,terca,2024-02-18,21
3660.0,8,VERDE,segunda,2024-02-19,16
9048.0,2,AMARELA,sexta,2024-02-20,3
1741.0,6,AMARELA,segunda,2024-02-21,10
5084.0,5,VERMELHA,quinta,2024-02-22,1
4453.0,7,VERMELHA,sexta,2024-02-23,20
8722.0,5,VERMELHA,sexta,2024-02-24,4
7350.0,6,AZUL,terca,2024-02-25,4
4287.0,8,AMARELA,segunda,2024-02-26,16
2759.0,7,AMARELA,quarta,2024-02-27,16
9881.0,3,VERDE,sexta,2024-02-28,15
3056.0,7,VERMELHA,sexta,2024-02-29,10
2351.0,5,AMARELA,quarta,2024-03-01,13
4520.0,2,VERDE,sexta,2024-03-02,8
7208.0,2,AMARELA,quinta,2024-03-03,11
1171.0,2,AMARELA,quarta,2024-03-04,20
5351.0,7,VERDE,quinta,2024-03-05,6
7112.0,7,VERDE,segunda,2024-03-06,9
9496.0,8,VERDE,segunda,2024-03-07,15
4018.0,3,AZUL,segunda,2024-03-08,3
9459.0,2,VERMELHA,quinta,2024-03-09,19
1784.0,6,VERMELHA,sexta,2024-03-10,12
7198.0,3,AZUL,sexta,2024-03-11,18
3057.0,8,VERDE,quarta,2024-03-12,17
4569.0,7,VERDE,quarta,2024-03-13,10
8852.0,7,AZUL,sexta,2024-03-14,2
9897.0,5,AMARELA,terca,2024-03-15,1
5895.0,3,AZUL,quinta,2024-03-16,11
1572.0,2,AZUL,quinta,2024-03-17,3
7363.0,2,AMARELA,quinta,2024-03-18,12
7465.0,6,VERMELHA,terca,2024-03-19,4
8548.0,5,VERDE,quarta,2024-03-20,1
6101.0,5,VERMELHA,quarta,2024-03-21,17
3862.0,3,VERDE,quinta,2024-03-22,0
9108.0,8,VERMELHA,quarta,2024-03-23,7
2535.0,7,AZUL,quinta,2024-03-24,4
1734.0,9,VERMELHA,sexta,2024-03-25,3
1073.0,7,AZUL,sexta,2024-03-26,5
4564.0,9,VERDE,quarta,2024-03-27,6
8493.0,2,VERDE,terca,2024-03-28,3
2518.0,2,VERDE,quarta,2024-03-29,2
3555.0,9,AZUL,segunda,2024-03-30,8
6267.0,3,AMARELA,quinta,2024-03-31,1
5919.0,4,AZUL,segunda,2024-04-01,4
6621.0,2,AMARELA,quarta,2024-04-02,0
6342.0,8,AZUL,sexta,2024-04-03,13
7842.0,9,AZUL,quinta,2024-04-04,19
9223.0,5,AZUL,quarta,2024-04-05,9
6838.0,8,AZUL,terca,2024-04-06,21
2887.0,9,VERDE,quarta,2024-04-07,5
7416.0,7,AMARELA,terca,2024-04-08,1
4405.0,3,AMARELA,sexta,2024-04-09,7
